| Field                                      | Unix Timestamp    | Human-Readable (UTC)     |
|--------------------------------------------|-------------------|--------------------------|
| **Top Level:**                             |                   |                          |
| data_start_timestamp (top level)           | 1731529702200     | 2024-11-14 03:41 UTC      |
| data_end_timestamp (top level)             | 1732181014320     | 2024-11-22 14:48 UTC      |
| **Inside "data":**                         |                   |                          |
| data_start_time (inside data)              | 1731678058320     | 2024-11-16 10:40 UTC      |
| data_end_time (inside data)                | 1731688462400     | 2024-11-16 13:40 UTC      |
| **Per Vehicle (Example Vehicle):**         |                   |                          |
| vehicle id 323618 Trajectory start         | 1731678060600     | 2024-11-16 10:40 UTC      |
| vehicle id 323618 Trajectory end           | 1731678060680     | 2024-11-16 10:40 UTC      |

| Vehicle ID | Trajectory Start (Unix) | Trajectory Start (Human) | Trajectory End (Unix) | Trajectory End (Human) |
|------------|-------------------------|--------------------------|-----------------------|------------------------|
| 323618     | 1731678060600           | 15Nov 17:17              | 1731678060680         | 15Nov 17:17            |
| 323621     | 1731678070640           | 15Nov 17:17              | 1731678070680         | 15Nov 17:17            |
| 323623     | 1731678149280           | 15Nov 17:19              | 1731678149360         | 15Nov 17:19            |
| 323624     | 1731678183240           | 15Nov 17:19              | 1731678183320         | 15Nov 17:19            |
| 323625     | 1731678221800           | 15Nov 17:20              | 1731678221880         | 15Nov 17:20            |
| 323627     | 1731678374680           | 15Nov 17:22              | 1731678374760         | 15Nov 17:22            |
| 323631     | 1731678424280           | 15Nov 17:23              | 1731678424400         | 15Nov 17:23            |
| 323632     | 1731678487200           | 15Nov 17:24              | 1731678487320         | 15Nov 17:24            |
| 323636     | 1731678625920           | 15Nov 17:27              | 1731678626000         | 15Nov 17:27            |
| 323638     | 1731678627160           | 15Nov 17:27              | 1731678627200         | 15Nov 17:27            |
| 323639     | 1731678628660           | 15Nov 17:27              | 1731678628680         | 15Nov 17:27            |
| 323640     | 1731678645800           | 15Nov 17:27              | 1731678645880         | 15Nov 17:27            |
| 323643     | 1731678670640           | 15Nov 17:27              | 1731678670680         | 15Nov 17:27            |
| 323644     | 1731678696880           | 15Nov 17:28              | 1731678696960         | 15Nov 17:28            |
| 323645     | 1731678746640           | 15Nov 17:29              | 1731678746720         | 15Nov 17:29            |
| 323647     | 1731678756360           | 15Nov 17:29              | 1731678756440         | 15Nov 17:29            |
| 323650     | 1731678762080           | 15Nov 17:29              | 1731678762160         | 15Nov 17:29            |
| 323651     | 1731678890440           | 15Nov 17:31              | 1731678890520         | 15Nov 17:31            |
| 323652     | 1731678917000           | 15Nov 17:31              | 1731678917080         | 15Nov 17:31            |
| 323655     | 1731678999000           | 15Nov 17:33              | 1731678999080         | 15Nov 17:33            |
| 323656     | 1731679006760           | 15Nov 17:33              | 1731679006920         | 15Nov 17:33            |
| 323657     | 1731679048880           | 15Nov 17:34              | 1731679048960         | 15Nov 17:34            |
| 323659     | 1731679099520           | 15Nov 17:34              | 1731679099720         | 15Nov 17:34            |
| 323660     | 1731679149760           | 15Nov 17:35              | 1731679149800         | 15Nov 17:35            |
| 323662     | 1731679211440           | 15Nov 17:36              | 1731679211520         | 15Nov 17:36            |
| 323663     | 1731679246040           | 15Nov 17:37              | 1731679246200         | 15Nov 17:37            |
| 323665     | 1731679346840           | 15Nov 17:39              | 1731679347000         | 15Nov 17:39            |
| 323666     | 1731679355720           | 15Nov 17:39              | 1731679355800         | 15Nov 17:39            |
| 323667     | 1731679493040           | 15Nov 17:41              | 1731679493080         | 15Nov 17:41            |
| 323670     | 1731679563320           | 15Nov 17:42              | 1731679563440         | 15Nov 17:42            |
| 323672     | 1731679568880           | 15Nov 17:42              | 1731679569000         | 15Nov 17:42            |
| 323677     | 1731679581360           | 15Nov 17:42              | 1731679581480         | 15Nov 17:42            |
| 323680     | 1731679608720           | 15Nov 17:43              | 1731679608840         | 15Nov 17:43            |
| 323681     | 1731679684240           | 15Nov 17:44              | 1731679684360         | 15Nov 17:44            |
| 323683     | 1731679841320           | 15Nov 17:46              | 1731679841400         | 15Nov 17:46            |
| 323684     | 1731679963240           | 15Nov 17:48              | 1731679963440         | 15Nov 17:48            |
| 323685     | 1731680093880           | 15Nov 17:50              | 1731680093960         | 15Nov 17:50            |
| 323687     | 1731680109520           | 15Nov 17:50              | 1731680109600         | 15Nov 17:50            |
| 323690     | 1731680148000           | 15Nov 17:51              | 1731680148120         | 15Nov 17:51            |
| 323691     | 1731680183840           | 15Nov 17:51              | 1731680183920         | 15Nov 17:51            |
| 323692     | 1731680244520           | 15Nov 17:54              | 1731680244640         | 15Nov 17:54            |
| 323701     | 1731680565920           | 15Nov 18:00              | 1731680566000         | 15Nov 18:00            |
| 323703     | 1731680568280           | 15Nov 18:00              | 1731680568400         | 15Nov 18:00            |
| 323704     | 1731680604040           | 15Nov 18:00              | 1731680604080         | 15Nov 18:00            |
| 323705     | 1731680607400           | 15Nov 18:00              | 1731680607480         | 15Nov 18:00            |
| 323707     | 1731680861280           | 15Nov 18:07              | 1731680861400         | 15Nov 18:07            |
| 323708     | 1731681024080           | 15Nov 18:10              | 1731681024200         | 15Nov 18:10            |
| 323709     | 1731681268240           | 15Nov 18:14              | 1731681268360         | 15Nov 18:14            |
| 323710     | 1731681600960           | 15Nov 18:20              | 1731681601040         | 15Nov 18:20            |
| 323713     | 1731681651640           | 15Nov 18:20              | 1731681651800         | 15Nov 18:20            |
| 323714     | 1731681654320           | 15Nov 18:20              | 1731681654440         | 15Nov 18:20            |
| 323715     | 1731681795920           | 15Nov 18:23              | 1731681796000         | 15Nov 18:23            |
| 323716     | 1731681869560           | 15Nov 18:24              | 1731681869720         | 15Nov 18:24            |
| 323717     | 1731681981520           | 15Nov 18:26              | 1731681981640         | 15Nov 18:26            |
| 323718     | 1731682031560           | 15Nov 18:27              | 1731682031640         | 15Nov 18:27            |
| 323719     | 1731682163360           | 15Nov 18:29              | 1731682163440         | 15Nov 18:29            |
| 323720     | 1731682206200           | 15Nov 18:30              | 1731682206320         | 15Nov 18:30            |
| 323722     | 1731682233320           | 15Nov 18:30              | 1731682233400         | 15Nov 18:30            |
| 323723     | 1731682298280           | 15Nov 18:31              | 1731682298400         | 15Nov 18:31            |
| 323725     | 1731682519680           | 15Nov 18:38              | 1731682519760         | 15Nov 18:38            |
| 323726     | 1731682884200           | 15Nov 18:48              | 1731682884360         | 15Nov 18:48            |
| 323727     | 1731682981320           | 15Nov 18:48              | 1731682981440         | 15Nov 18:48            |
| 323732     | 1731682987560           | 15Nov 18:48              | 1731682987640         | 15Nov 18:48            |
| 323734     | 1731683040000           | 15Nov 18:50              | 1731683040120         | 15Nov 18:50            |
| 323735     | 1731683116920           | 15Nov 18:51              | 1731683117040         | 15Nov 18:51            |
| 323736     | 1731683135040           | 15Nov 18:51              | 1731683135120         | 15Nov 18:51            |
| 323738     | 1731683192080           | 15Nov 18:52              | 1731683192240         | 15Nov 18:52            |
| 323739     | 1731683209920           | 15Nov 18:53              | 1731683210000         | 15Nov 18:53            |
| 323741     | 1731683252720           | 15Nov 18:54              | 1731683252880         | 15Nov 18:54            |
| 323744     | 1731683280360           | 15Nov 18:54              | 1731683280440         | 15Nov 18:54            |
| 323745     | 1731683526840           | 15Nov 19:00              | 1731683526960         | 15Nov 19:00            |
| 323748     | 1731683562960           | 15Nov 19:00              | 1731683563040         | 15Nov 19:00            |
| 323751     | 1731683716760           | 15Nov 19:01              | 1731683716880         | 15Nov 19:01            |
| 323752     | 1731683882840           | 15Nov 19:04              | 1731683882960         | 15Nov 19:04            |
| 323753     | 1731683934080           | 15Nov 19:05              | 1731683934200         | 15Nov 19:05            |
| 323756     | 1731684035040           | 15Nov 19:07              | 1731684035120         | 15Nov 19:07            |
| 323759     | 1731684117840           | 15Nov 19:08              | 1731684117920         | 15Nov 19:08            |
| 323761     | 1731684122760           | 15Nov 19:08              | 1731684122960         | 15Nov 19:08            |
| 323762     | 1731684152200           | 15Nov 19:09              | 1731684152320         | 15Nov 19:09            |
| 323764     | 1731684400480           | 15Nov 19:13              | 1731684400600         | 15Nov 19:13            |
| 323767     | 1731684846600           | 15Nov 19:27              | 1731684846760         | 15Nov 19:27            |
| 323768     | 1731684867600           | 15Nov 19:27              | 1731684867680         | 15Nov 19:27            |
| 323769     | 1731685046040           | 15Nov 19:34              | 1731685046160         | 15Nov 19:34            |
| 323771     | 1731685081320           | 15Nov 19:34              | 1731685081400         | 15Nov 19:34            |
| 323772     | 1731685103120           | 15Nov 19:35              | 1731685103280         | 15Nov 19:35            |
| 323774     | 1731685151840           | 15Nov 19:39              | 1731685151960         | 15Nov 19:39            |
| 323776     | 1731685515880           | 15Nov 19:45              | 1731685515960         | 15Nov 19:45            |
| 323777     | 1731685532960           | 15Nov 19:45              | 1731685533040         | 15Nov 19:45            |
| 323779     | 1731686184520           | 15Nov 20:03              | 1731686184640         | 15Nov 20:03            |
| 323780     | 1731686251520           | 15Nov 20:04              | 1731686251600         | 15Nov 20:04            |
| 323782     | 1731686371640           | 15Nov 20:06              | 1731686371720         | 15Nov 20:06            |
| 323783     | 1731686391720           | 15Nov 20:06              | 1731686391800         | 15Nov 20:06            |
| 323784     | 1731686514880           | 15Nov 20:08              | 1731686515040         | 15Nov 20:08            |
| 323786     | 1731686549160           | 15Nov 20:09              | 1731686549240         | 15Nov 20:09            |
| 323787     | 1731686553520           | 15Nov 20:09              | 1731686553640         | 15Nov 20:09            |
| 323790     | 1731687047240           | 15Nov 20:30              | 1731687047320         | 15Nov 20:30            |
| 323791     | 1731687087520           | 15Nov 20:31              | 1731687087600         | 15Nov 20:31            |
| 323793     | 1731687636080           | 15Nov 21:00              | 1731687636200         | 15Nov 21:00            |
| 323794     | 1731687928080           | 15Nov 21:05              | 1731687928160         | 15Nov 21:05            |
| 323796     | 1731688464560           | 15Nov 21:14              | 1731688464640         | 15Nov 21:14            |
