insertion_id,license_plate,category,color,timestamp,gate,zone,description
6035116,MH40CX7965,car,white,2025-01-24 04:17:41.52+00,ganajan_car_in,50,ZONE 2 - Table
6035117,E37555,car,white,2025-01-24 04:17:36.04+00,ganajan_car_in,50,ZONE 2 - Table
6035118,-,pedestrian,undefined,2025-01-24 04:17:42.36+00,ganajan_car_in,50,ZONE 2 - Table
6035126,MH40CH7865,car,white,2025-01-24 04:17:47.68+00,ganajan_car_in,50,ZONE 2 - Table
6035135,-,pedestrian,undefined,2025-01-24 04:17:46.44+00,ganajan_car_in,50,ZONE 2 - Table
6035139,-,pedestrian,undefined,2025-01-24 04:18:05.12+00,ganajan_car_in,50,ZONE 2 - Table
6035143,-,pedestrian,undefined,2025-01-24 04:18:05.64+00,ganajan_car_in,50,ZONE 2 - Table
6035157,-,pedestrian,undefined,2025-01-24 04:18:20.72+00,ganajan_car_in,50,ZONE 2 - Table
6035194,-,pedestrian,undefined,2025-01-24 04:18:59.04+00,ganajan_car_in,50,ZONE 2 - Table
6035205,-,pedestrian,undefined,2025-01-24 04:19:39.44+00,ganajan_car_in,50,ZONE 2 - Table
6035210,-,pedestrian,undefined,2025-01-24 04:19:44.88+00,ganajan_car_in,50,ZONE 2 - Table
6035211,-,pedestrian,undefined,2025-01-24 04:19:39.2+00,ganajan_car_in,50,ZONE 2 - Table
6035213,-,pedestrian,undefined,2025-01-24 04:19:41.08+00,ganajan_car_in,50,ZONE 2 - Table
6035214,-,pedestrian,undefined,2025-01-24 04:19:39.52+00,ganajan_car_in,50,ZONE 2 - Table
6035215,MH19EG9169,car,white,2025-01-24 04:19:54.2+00,ganajan_car_in,50,ZONE 2 - Table
6035221,-,pedestrian,undefined,2025-01-24 04:19:46.08+00,ganajan_car_in,50,ZONE 2 - Table
6035233,-,pedestrian,undefined,2025-01-24 04:20:13.56+00,ganajan_car_in,50,ZONE 2 - Table
6035247,-,pedestrian,undefined,2025-01-24 04:20:38.92+00,ganajan_car_in,50,ZONE 2 - Table
6035248,-,pedestrian,undefined,2025-01-24 04:20:29.16+00,ganajan_car_in,50,ZONE 2 - Table
6035251,-,pedestrian,undefined,2025-01-24 04:20:32.44+00,ganajan_car_in,50,ZONE 2 - Table
6035255,-,pedestrian,undefined,2025-01-24 04:20:34.48+00,ganajan_car_in,50,ZONE 2 - Table
6035264,V3380,car,white,2025-01-24 04:20:59.52+00,ganajan_car_in,50,ZONE 2 - Table
6035265,MH27DA0069,car,black,2025-01-24 04:21:07.72+00,ganajan_car_in,50,ZONE 2 - Table
6035266,MH27DA0069,motorcycle,undefined,2025-01-24 04:21:01.12+00,ganajan_car_in,50,ZONE 2 - Table
6035271,-,pedestrian,undefined,2025-01-24 04:21:15.56+00,ganajan_car_in,50,ZONE 2 - Table
6035296,-,pedestrian,undefined,2025-01-24 04:21:28+00,ganajan_car_in,50,ZONE 2 - Table
6035297,-,pedestrian,undefined,2025-01-24 04:21:32.44+00,ganajan_car_in,50,ZONE 2 - Table
6035298,-,pedestrian,undefined,2025-01-24 04:21:33.92+00,ganajan_car_in,50,ZONE 2 - Table
6035301,-,pedestrian,undefined,2025-01-24 04:21:40.52+00,ganajan_car_in,50,ZONE 2 - Table
6035302,-,pedestrian,undefined,2025-01-24 04:21:37.24+00,ganajan_car_in,50,ZONE 2 - Table
6035304,-,pedestrian,undefined,2025-01-24 04:21:39+00,ganajan_car_in,50,ZONE 2 - Table
6035307,MH21BV0925,car,white,2025-01-24 04:21:48+00,ganajan_car_in,50,ZONE 2 - Table
6035308,-,pedestrian,undefined,2025-01-24 04:21:41.04+00,ganajan_car_in,50,ZONE 2 - Table
6035316,-,pedestrian,undefined,2025-01-24 04:21:56.96+00,ganajan_car_in,50,ZONE 2 - Table
6035322,-,pedestrian,undefined,2025-01-24 04:21:58.68+00,ganajan_car_in,50,ZONE 2 - Table
6035337,-,pedestrian,undefined,2025-01-24 04:22:55.4+00,ganajan_car_in,50,ZONE 2 - Table
6035349,MH27DL6343,car,white,2025-01-24 04:22:38.76+00,ganajan_car_in,50,ZONE 2 - Table
6035385,MH4NE40,car,white,2025-01-24 04:23:47.36+00,ganajan_car_in,50,ZONE 2 - Table
6035386,MH30BD4989,car,white,2025-01-24 04:23:59.2+00,ganajan_car_in,50,ZONE 2 - Table
6035398,-,pedestrian,undefined,2025-01-24 04:24:18.56+00,ganajan_car_in,50,ZONE 2 - Table
6035405,-,pedestrian,undefined,2025-01-24 04:24:10.72+00,ganajan_car_in,50,ZONE 2 - Table
6035406,-,pedestrian,undefined,2025-01-24 04:24:06.84+00,ganajan_car_in,50,ZONE 2 - Table
6035413,-,pedestrian,undefined,2025-01-24 04:24:19.48+00,ganajan_car_in,50,ZONE 2 - Table
6035431,-,pedestrian,undefined,2025-01-24 04:24:32.56+00,ganajan_car_in,50,ZONE 2 - Table
6035438,-,pedestrian,undefined,2025-01-24 04:24:51.68+00,ganajan_car_in,50,ZONE 2 - Table
6035440,-,pedestrian,undefined,2025-01-24 04:24:50.44+00,ganajan_car_in,50,ZONE 2 - Table
6035498,MH37V1565,car,silver,2025-01-24 04:25:12.08+00,ganajan_car_in,50,ZONE 2 - Table
6035524,-,pedestrian,undefined,2025-01-24 04:25:29.96+00,ganajan_car_in,50,ZONE 2 - Table
6035525,-,pedestrian,undefined,2025-01-24 04:25:30+00,ganajan_car_in,50,ZONE 2 - Table
6035527,-,pedestrian,undefined,2025-01-24 04:25:31.08+00,ganajan_car_in,50,ZONE 2 - Table
6035533,-,pedestrian,undefined,2025-01-24 04:25:31.48+00,ganajan_car_in,50,ZONE 2 - Table
6035547,-,pedestrian,undefined,2025-01-24 04:25:41.4+00,ganajan_car_in,50,ZONE 2 - Table
6035549,MH27AR4964,car,white,2025-01-24 04:25:46.16+00,ganajan_car_in,50,ZONE 2 - Table
6035563,-,bicycle,undefined,2025-01-24 04:25:52.36+00,ganajan_car_in,50,ZONE 2 - Table
6035600,-,pedestrian,undefined,2025-01-24 04:26:29.88+00,ganajan_car_in,50,ZONE 2 - Table
6035607,-,pedestrian,undefined,2025-01-24 04:26:58.92+00,ganajan_car_in,50,ZONE 2 - Table
6035609,MH20BN4596,car,white,2025-01-24 04:27:06.613+00,ganajan_car_in,50,ZONE 2 - Table
6035634,-,pedestrian,undefined,2025-01-24 04:27:08.8+00,ganajan_car_in,50,ZONE 2 - Table
6035638,-,pedestrian,undefined,2025-01-24 04:27:09.2+00,ganajan_car_in,50,ZONE 2 - Table
6035644,MH30AT2125,car,red,2025-01-24 04:27:13.68+00,ganajan_car_in,50,ZONE 2 - Table
6035666,-,bicycle,undefined,2025-01-24 04:27:34.08+00,ganajan_car_in,50,ZONE 2 - Table
6035678,-,pedestrian,undefined,2025-01-24 04:27:45.64+00,ganajan_car_in,50,ZONE 2 - Table
6035681,-,pedestrian,undefined,2025-01-24 04:29:14.76+00,ganajan_car_in,50,ZONE 2 - Table
6035684,MH27DL3704,car,white,2025-01-24 04:27:57.64+00,ganajan_car_in,50,ZONE 2 - Table
6035689,GJ05JF1823,car,white,2025-01-24 04:28:07.64+00,ganajan_car_in,50,ZONE 2 - Table
6035699,VRJ1948,car,white,2025-01-24 04:28:11.44+00,ganajan_car_in,50,ZONE 2 - Table
6035710,MH31FU2716,car,red,2025-01-24 04:28:19.68+00,ganajan_car_in,50,ZONE 2 - Table
6035721,MH27BZ8840,car,white,2025-01-24 04:28:37.76+00,ganajan_car_in,50,ZONE 2 - Table
6035762,-,pedestrian,undefined,2025-01-24 04:29:21.88+00,ganajan_car_in,50,ZONE 2 - Table
6035769,-,pedestrian,undefined,2025-01-24 04:29:24.28+00,ganajan_car_in,50,ZONE 2 - Table
6035772,-,pedestrian,undefined,2025-01-24 04:29:25.2+00,ganajan_car_in,50,ZONE 2 - Table
6035774,-,pedestrian,undefined,2025-01-24 04:29:25.68+00,ganajan_car_in,50,ZONE 2 - Table
6035781,-,motorcycle,black,2025-01-24 04:29:33.36+00,ganajan_car_in,50,ZONE 2 - Table
6035786,-,motorcycle,undefined,2025-01-24 04:29:33.76+00,ganajan_car_in,50,ZONE 2 - Table
6035801,-,pedestrian,undefined,2025-01-24 04:29:50.84+00,ganajan_car_in,50,ZONE 2 - Table
6035802,MH27DU2670,car,white,2025-01-24 04:29:58.88+00,ganajan_car_in,50,ZONE 2 - Table
6035810,-,pedestrian,undefined,2025-01-24 04:29:55.2+00,ganajan_car_in,50,ZONE 2 - Table
6035812,MH31FC9474,car,white,2025-01-24 04:30:03.48+00,ganajan_car_in,50,ZONE 2 - Table
6035828,MH31FA3815,car,white,2025-01-24 04:30:23.92+00,ganajan_car_in,50,ZONE 2 - Table
